Country Code ISO3,UNCode,Country,IndexRank,IndexScore,GeometricRank,GeometricScore,UNReg,UnRegSub,Regions used for the SDR,SDG1_190DAY_im,SDG1_OECDPOV,SDG2_CRLYLD,SDG2_NUE,SDG2_OBESITY,SDG2_STUNTING,SDG2_UNDERNSH_im,SDG2_WASTING,SDG3_FERTILITY,SDG3_HALE,SDG3_MATMORT,SDG3_NEONAT,SDG3_PHYS,SDG3_SMOKE,SDG3_SWB,SDG3_TB,SDG3_TRAFFIC,SDG3_U5MORT,SDG3_VAC,SDG4_LITERACY,SDG4_PISA,SDG4_PRIMARY,SDG4_SCHLYRS,SDG4_TERTIARY,SDG4_UPSEC,SDG5_CONTRA,SDG5_EDAT,SDG5_LFPR,SDG5_PARL,SDG5_PAYGAP,SDG6_FRESHWAT,SDG6_IMPSAN,SDG6_IMPWAT,SDG7_CO2TWH,SDG7_ELECAC,SDG7_NSFUELAC,SDG7_REN,SDG8_ADJGROWTH,SDG8_ATMS,SDG8_CLABOR_im,SDG8_EMPOP,SDG8_UNEMP,SDG8_YNEET,SDG9_INFRQUAL,SDG9_INTUSE,SDG9_LOGPERF,SDG9_MOBUSE,SDG9_PATENTS,SDG9_RDRES,SDG9_RD_im,SDG10_GINI,SDG10_JUSTICE,SDG10_PALMA,SDG11_PIPEDWAT,SDG11_PM25,SDG11_ROOMS,SDG12_MSW,SDG12_MSWRECYCL,SDG12_WASTEWAT,SDG13_CCVM,SDG13_CO2pCAP,SDG14_BIODIV,SDG14_CLEANWAT,SDG14_CPMA,SDG14_FISH,SDG14_FISHSTOCKS,SDG15_CPTA,SDG15_FORCHG,SDG15_REDLIST,SDG16_CPI,SDG16_GOVEFF,SDG16_HOMICIDE,SDG16_PRISON,SDG16_PRS,SDG16_SAFE,SDG16_U5REG,SDG17_GOVREV,SDG17_GOVSPD,SDG17_ODA,IncomeGroup
SWE,752,Sweden,1,84.5294189453125,1,83.67178344726562,Europe,Northern Europe,OECD,0.0,9.0,5.649600028991699,0.520715797344719,20.5,,1.1699999570846558,,5.1,72,4,1.6,3.926,10.7,7.363999843597412,7.5,2.8,3.0,97,,482.0,99.34418,15.81512,35.17,9.13,22.71325796505652,102.3679811734888,92.50334845662552,43.599998474121094,15.13,1.546,99.30000305175781,100.0,0.24509803921568626,100.0,95.0,35.6,-0.4685745178617192,40.243183170181,0.0,71.84120329,7.356030464172363,9.448,5.561683640113244,92.52,4.09375,108.7,323.1202392578125,14.0745512143611,3.406219959259033,25.0,7.48,0.96,100.0,7.315244674682617,1.7,1.61,1.0786999464035034,87.8571428571429,0.03,5.518421649932861,94.44,88.02,30.0,72.0,,32.0,10.663191201197,0.99215135443912,89.0,4.957010676066815,0.7,67,5.928058099746703,76.82317351897801,100.0,,19.935935974121094,1.405,HIC
DNK,208,Denmark,2,83.87613677978516,2,83.07379913330078,Europe,Northern Europe,OECD,0.0,6.0,6.604899883270264,0.38261948778579835,19.3,,1.1699999570846558,,2.4,70,6,2.5,3.485,17.0,7.5269999504089355,7.1,3.5,3.5,90,,498.0,98.22179,18.68933,33.7,19.73,17.85714285714286,101.19826491430071,87.4999956912306,37.400001525878906,7.0,10.62,99.5999984741211,100.0,1.1181556195965416,100.0,95.0,24.4,-1.2884477946815778,54.2856937872071,0.0,69.9924995,6.312821388244629,10.737,5.848746065939626,95.99,3.816178,103.8,203.98277282714844,14.7006871609403,2.9841599464416504,24.899999618530273,7.06,0.87,100.0,11.40544605255127,1.9,2.34,1.6848000288009644,93.45,0.08,7.248328685760498,93.18,89.26,71.7391304347826,64.0,88.93,74.5614035087719,8.85371179258941,0.975348388831911,91.0,4.20277390261533,0.8,73,5.7358062133261685,85.20045610598544,100.0,,22.35310935974121,0.847,HIC
NOR,578,Norway,3,82.31454467773438,3,81.11995697021484,Europe,Northern Europe,OECD,0.0,8.0,4.311999797821045,0.829439185448617,23.1,,1.1699999570846558,,5.0,71,5,1.5,4.281,15.0,7.521999835968018,8.1,3.8,2.5999999046325684,93,,496.0,99.71095,17.49259,38.05,16.17,15.363225582203677,101.05196047178833,94.01197061084264,39.599998474121094,6.4070001,0.7478,98.0999984741211,100.0,0.26402393418100223,100.0,95.0,46.9,-0.39958885135743477,48.623115201028,0.0,73.77150637,4.147924900054932,8.467,5.045010015699599,96.3,4.191941,86.7,135.79771423339844,10.6887513651256,1.6547399759292603,25.790000915527344,,0.85,100.0,6.035745143890381,2.0,2.8,2.1559998989105225,77.0533426712685,0.04,9.192878723144531,91.36,83.46,41.1764705882353,67.0,3.81,35.5555555555556,3.5854865257614903,0.952146046201017,87.0,5.096433423558412,2.2,72,5.988531702283829,89.63102288008594,100.0,,17.78059196472168,1.046,HIC
FIN,246,Finland,4,80.99784851074219,5,79.78619384765625,Europe,Northern Europe,OECD,0.0,7.000000000000001,3.68969988822937,0.5804503280022424,20.6,,1.1699999570846558,,7.3,71,3,1.3,2.905,15.8,7.406000137329102,5.6,4.8,2.299999952316284,97,,529.3333129882812,99.05206,17.06943,39.31,9.84,12.343776750556412,100.5911330049261,88.65814912590415,41.5,18.726,5.965,97.5999984741211,100.0,0.6900420757363255,100.0,95.0,29.1,-2.030870970219544,35.8660931380477,0.0,68.16091954,9.624235153198242,12.967,6.211401820423627,92.38,3.518235,123.5,300.1050720214844,15.3214328597158,3.548229932785034,26.8799991607666,7.13,0.91,100.0,7.032870769500732,1.9,2.13,1.7252999544143677,84.25,0.03,10.164046287536621,98.26,84.97,6.06060606060606,70.0,1.98,20.4545454545455,10.4780513682682,0.989589660577509,90.0,5.320377732660556,1.6,58,6.423800663996224,85.77168717772915,100.0,,19.708431243896484,0.56,HIC
CHE,756,Switzerland,5,80.87385559082031,4,80.2439956665039,Europe,Western Europe,OECD,0.0,10.0,6.727099895477295,0.6512613225647106,19.4,,1.1699999570846558,,2.0,72,5,2.7,4.049,20.4,7.586999893188477,6.3,3.3,3.9000000953674316,93,,518.3333129882812,93.37542,15.79043,35.2,10.93,12.721584984358703,87.78625954198473,83.46666463216145,32.0,16.509001,3.707,99.9000015258789,100.0,0.6031976744186047,100.0,95.0,20.5,-0.7535817004146612,97.5285942923013,0.0,73.62934054,4.252133846282959,9.892,6.472435959902676,87.0,4.043594,63.4,318.0307312011719,7.52774904569626,2.870460033416748,33.68000030517578,,1.04,100.0,17.598806381225586,1.8,2.61,1.722599983215332,96.95,0.02,4.625229835510254,,,,,,16.1290322580645,1.55900143311271,0.981241254556156,86.0,5.273189569768378,0.6,82,6.334343704477057,87.42669801615071,100.0,,19.61362075805664,0.523,HIC
DEU,276,Germany,6,80.51817321777344,6,79.59990692138672,Europe,Western Europe,OECD,0.0,9.0,8.050299644470215,0.45008789358979107,20.1,1.3,1.1699999570846558,1.0,7.8,71,6,2.1,3.889,20.9,6.75,6.2,4.3,3.700000047683716,96,,515.3333129882812,97.71862,16.45695,27.56,13.22,19.42771084337349,93.96721094310855,82.65459534636874,36.5,13.818,21.43,99.19999694824219,100.0,1.2107108702582086,100.0,95.0,10.7,-0.03872690962237867,118.186909464393,0.0,67.95582179,4.606500625610352,9.173,5.8743930362886,86.19,4.323295,44.7,218.44407653808594,8.42189073367211,2.919100046157837,28.309999465942383,6.55,1.07,100.0,15.345863342285156,1.8,2.11,1.118299961090088,95.18054,0.03,8.917832374572754,91.55,79.21,30.0,64.0,65.98,33.2075471698113,4.12070659445246,0.982941581489529,81.0,4.728817911129571,0.8,79,5.811961310525094,74.60059455619925,100.0,,19.195819854736328,0.518,HIC
AUT,40,Austria,7,79.06902313232422,7,77.93946838378906,Europe,Western Europe,OECD,0.0,8.0,7.245999813079834,0.33247412638285867,18.4,,1.1699999570846558,,7.9,71,4,2.1,,23.2,7.199999809265137,7.8,5.4,3.5,76,,500.6666564941406,98.2038253372907,15.74653,19.34,11.82,15.89327146171694,82.87292816462859,83.28312946726031,30.600000381469727,18.184999,4.704,100.0,100.0,1.0093023255813953,100.0,95.0,29.5,-0.9340763651186426,119.43897437169,0.0,67.26728309,5.676161766052246,11.552,6.048092467008635,81.0,3.63611,64.3,162.9232940673828,9.60653256678053,2.8363900184631348,29.149999618530273,6.61,0.96,100.0,14.848373413085938,1.6,2.4,1.8480000495910645,79.05,0.02,7.769983291625977,,,,,,9.09090909090909,4.98615004988366,0.89604400908795,76.0,4.312938022711575,0.9,98,5.886311193676882,81.18695180886095,100.0,,19.66628074645996,0.323,HIC
NLD,528,Netherlands,8,78.93939971923828,8,77.49640655517578,Europe,Western Europe,OECD,0.0,8.0,9.073699951171875,0.7496360169058442,19.8,,1.1699999570846558,,4.5,71,7,2.4,,18.5,7.377999782562256,5.8,3.4,3.799999952316284,96,,518.6666870117188,96.96336,17.92333,32.08,18.19,16.359163591635916,95.39857170430419,82.7683558590838,37.29999923706055,,11.71,97.69999694824219,100.0,1.54806739345887,100.0,95.0,4.3,-1.161795799305517,50.5768467782395,0.0,70.39694623,6.075369834899902,9.221,6.311317348480225,93.17,4.229527,62.3,206.3767547607422,8.6435404508525,2.1567599773406982,30.899999618530273,6.96,0.99,100.0,16.840656280517578,2.0,2.12,1.611199975013733,98.8181818181818,0.22,10.064489364624023,85.31,78.45,45.4545454545455,62.0,69.18,39.8058252427184,2.87617267453154,0.946383589912852,87.0,4.944898864181596,0.9,82,6.007219349710565,80.51218919193553,100.0,,20.973039627075195,0.76,HIC
ISL,352,Iceland,9,78.40955352783203,15,75.19237518310547,Europe,Northern Europe,OECD,0.0,6.0,,0.4666361027961638,22.8,,1.1699999570846558,,7.1,72,3,0.9,3.476,11.4,7.560999870300293,3.3,4.6,2.0,90,,484.6666564941406,98.05362,18.97689,33.86,25.34,,103.76084860173577,91.92399564272759,41.29999923706055,,0.0971,98.80000305175781,100.0,0.11049723756906077,100.0,95.0,84.7,0.38489169116557415,71.5286507885593,0.0,78.50612115,4.374475479125977,8.836,5.982592921201574,98.16,3.342209,74.7,99.82019805908203,11.1497998856489,2.604870080947876,25.700000762939453,,0.87,100.0,7.1834516525268555,1.5,1.56,0.9828000068664551,51.9428571428571,0.05,5.896829128265381,79.16,87.18,0.0,59.0,44.67,0.0,,0.882336642679048,79.0,4.613276837216024,0.3,47,5.495763858806256,78.12902502269026,100.0,,19.023765563964844,0.241,HIC
GBR,826,United Kingdom,10,78.14366149902344,10,76.73221588134766,Europe,Northern Europe,OECD,0.0,10.0,7.707200050354004,0.49497488151996805,28.1,,1.1699999570846558,,19.3,71,9,2.4,2.809,20.0,6.867000102996826,12.0,2.9,4.199999809265137,93,,502.3333435058594,99.90975,16.18306,39.41,15.68,7.425742574257422,98.33838682276321,83.09038085693673,29.399999618530273,17.784,7.231,99.19999694824219,100.0,1.2593320235756384,100.0,95.0,4.5,-0.5436985507631716,129.763436554374,0.0,65.68368263,5.473719120025635,14.401,5.3124487616533145,91.61,4.158261,87.2,87.83065032958984,8.90495442708334,1.72107994556427,35.970001220703125,5.94,1.37,100.0,10.805298805236816,1.9,1.85,1.3504999876022339,97.927095,0.05,7.0857319831848145,82.68,87.79,29.1925465838509,71.0,70.8494780177761,27.8787878787879,8.739122486268771,0.786703751833805,81.0,4.823960273793174,1.0,147,6.286663855511717,77.84268837966461,100.0,,16.872108459472656,0.712,HIC
