Country Code ISO3,Country,IndexScore,IndexRank,SpilloverScore,Regions used for the SDR,id,image
AFG,Afghanistan,53.93331208301503,137,99.344,E. Europe & C. Asia,4,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134317490>
AGO,Angola,50.29613410364146,154,97.0222,Africa,24,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134316E00>
ALB,Albania,71.0218581232493,64,94.33755555555555,E. Europe & C. Asia,8,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x36 at 0x7FF1343141F0>
AND,Andorra,,0,,E. Europe & C. Asia,20,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x35 at 0x7FF1343656F0>
ARE,United Arab Emirates,70.16993164906988,71,38.81963636363636,MENA,784,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134366A10>
ARG,Argentina,72.79844166666669,52,94.5372,LAC,32,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134367E80>
ARM,Armenia,71.79390036075036,58,96.68333333333334,E. Europe & C. Asia,51,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134364A00>
ATG,Antigua and Barbuda,,0,,LAC,28,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1343668F0>
AUS,Australia,75.57571302521009,35,63.92036363636364,OECD,36,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134364970>
AUT,Austria,82.08008748601179,6,59.51972727272727,OECD,40,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134367E50>
AZE,Azerbaijan,72.40622960911638,55,97.63655555555556,E. Europe & C. Asia,31,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134367A60>
BDI,Burundi,51.79990590569561,147,99.7747777777778,Africa,108,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134366800>
BEL,Belgium,82.19017352941177,5,61.96972727272728,OECD,56,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x43 at 0x7FF134315C90>
BEN,Benin,49.86932570028012,155,98.81600000000002,Africa,204,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134315EA0>
BFA,Burkina Faso,53.50675728291316,139,99.3664,Africa,854,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1343664D0>
BGD,Bangladesh,63.45427276449042,109,99.32677777777778,East & South Asia,50,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF134365150>
BGR,Bulgaria,73.81489150326797,45,86.8726,E. Europe & C. Asia,100,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1343653F0>
BHR,Bahrain,66.05680866584396,100,83.91811111111112,MENA,48,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF134365A20>
BHS,"Bahamas, The",,0,,LAC,44,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134366950>
BIH,Bosnia and Herzegovina,73.70307713430361,47,95.83633333333334,E. Europe & C. Asia,70,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134365C90>
BLR,Belarus,78.82126238222564,24,96.6577,E. Europe & C. Asia,112,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134365570>
BLZ,Belize,64.42867238773339,104,93.54777777777775,LAC,84,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134367220>
BOL,Bolivia,67.59949635854342,90,97.89277777777778,LAC,68,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134367190>
BRA,Brazil,71.33911400560223,61,97.5719,LAC,76,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x36 at 0x7FF134364C70>
BRB,Barbados,68.44894869133174,83,78.83055555555556,LAC,52,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134364820>
BRN,Brunei Darussalam,68.27481628219915,84,70.9397,East & South Asia,96,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134365CC0>
BTN,Bhutan,69.98158261222436,75,93.90022222222224,East & South Asia,64,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF134366050>
BWA,Botswana,61.9233799719888,115,80.6256,Africa,72,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134365C00>
CAF,Central African Republic,38.27117724089636,165,99.64844444444444,Africa,140,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=50x33 at 0x7FF134366AA0>
CAN,Canada,79.15540380844647,21,64.07390909090908,OECD,124,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134365C60>
CHE,Switzerland,80.09503836405531,16,41.66354545454545,OECD,756,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x50 at 0x7FF134366F50>
CHL,Chile,77.13278487394957,30,93.237,OECD,152,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134365930>
CHN,China,72.06163656539537,57,94.62300000000002,East & South Asia,156,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF134367610>
CIV,Cote d'Ivoire,57.562476540616245,131,99.4905,Africa,384,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF134365120>
CMR,Cameroon,55.26133389355743,134,99.5603,Africa,120,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134366020>
COD,"Congo, Dem. Rep.",49.29806164856187,158,99.39611111111113,Africa,180,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x38 at 0x7FF1343675B0>
COG,"Congo, Rep.",52.94574992997199,144,97.74133333333332,Africa,178,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134366FE0>
COL,Colombia,70.55730329131654,68,95.1906,OECD,170,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1343658D0>
COM,Comoros,,0,,Africa,174,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134365180>
CPV,Cabo Verde,68.14469656324069,86,95.43266666666666,Africa,132,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134364E20>
CRI,Costa Rica,73.55011449579831,50,83.3351,LAC,188,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x32 at 0x7FF134364F10>
CUB,Cuba,73.65433835363022,49,97.09655555555555,LAC,192,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF134364D30>
CYP,Cyprus,74.86543061840122,40,63.839818181818174,E. Europe & C. Asia,196,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF134364040>
CZE,Czech Republic,81.3879148615774,12,67.80063636363637,OECD,203,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134364190>
